mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
42c40ed5-e012-4810-a14b-31b724159379,33kV Line TIRJ3_#5L5-LLCY3_MAIN1[sec]0,322f7b97-b1ad-4fd0-8035-28bb3932f05d,4bcac5c3-b10d-4da4-bcf2-eb0e47a6de6f,TIRJ3_#5L5,LLCY3_MAIN1,0.732173,1.71837,0.000156252,5.609,33.0,f202e58c-f506-43ed-99c3-7feace22b17e
b57046c2-e2fd-4855-a8eb-64ec89bac808,33kV Line TIRJ3_#6L5-56L6078P8[sec]0,878fba51-1487-4b9a-b1a1-abdca348b051,efe599f5-b09c-4dcf-b94e-151b2a03e2f7,TIRJ3_#6L5,56L6078P8,0.137427,0.342616,3.62062e-05,1.152,33.0,13c9fdc2-3155-4c62-8bfe-f940bf27c00d
b0f176be-d1d0-4b79-a920-1aed9e73b14c,33kV Line TIRJ3_#7L5-GETH32[sec]0,bee6056a-5a60-43eb-86dc-b173d1f2ff5b,70f37877-d175-4192-9760-f35502c0819d,TIRJ3_#7L5,GETH32,0.351145,0.565843,0.00034087,4.574,33.0,7153ffa1-930e-4e40-9ac9-7129a8aa9e62
1407dfda-2dfd-4db4-b4fe-13d4445960ca,33kV Line TIRJ3_#8L5-SWWF31[sec]0,af97c577-b66a-4cc2-8424-edcdeadd95ea,4713c7f3-aad9-4d43-a712-15fbe83f92b7,TIRJ3_#8L5,SWWF31,0.109348,0.188485,0.00018641,1.75,33.0,253915a6-ebd0-4e3e-8532-7e711a12838e
fc540acb-bac1-4234-a920-995a6a9a0224,33kV Line TIRJ3_#9L5-FORT31[sec]0,8b251281-fa77-449c-a103-e4db25003099,3add4199-67a3-4357-9a96-d52b0543ae34,TIRJ3_#9L5,FORT31,0.183324,0.365648,0.000123666,1.574,33.0,a32f2554-27e7-4047-bc0e-4ccf81c5810b
c7086b2b-1945-408a-852c-cfc798089b9d,33kV Line TJGF3_#1L5-TIRJ3_#16L5[sec]0,851dbfd8-e83e-4d2b-811e-b620ab6e7f1d,377258ce-ed94-4b5c-abc2-60fcb0fcdaed,TJGF3_#1L5,TIRJ3_#16L5,0.0124194,0.021924,1.89174e-05,0.2,33.0,896460f8-7eb3-4c37-b0dd-494217a5a7b3
6fff9069-db6a-487c-ae87-279ee80ddfbf,33kV Line TOWE3T-55L7035P17[sec]0,6414d27d-af7a-4a1f-8535-d5d1f66f3159,cb50e42e-f86c-4e9c-9d1d-fab9911c0280,TOWE3T,55L7035P17,0.147313,0.296865,2.65646e-06,0.829,33.0,ca4e0151-cf93-4886-83c0-61d690b88409
5284c8f5-c4d5-4fd0-98fb-4cb9f5104f78,33kV Line TOWE3T-55L7040P11[sec]0,6414d27d-af7a-4a1f-8535-d5d1f66f3159,f9ec62c8-37c7-4803-9f5a-025c6eec1f33,TOWE3T,55L7040P11,0.0254262,0.0347634,2.89246e-07,0.093,33.0,7e6c7a31-e90c-4880-94ca-72fddf5e26d7
d6f47364-8062-439b-b261-d0eaa96f8b5a,33kV Line TOWE3_1L9-55L7036P37[sec]0,5f293707-e531-4bd8-a76d-73fc73e8b95a,dd09617d-7bd9-44b1-b7d1-c3e65f7c9856,TOWE3_1L9,55L7036P37,0.29345,0.749097,5.89716e-05,2.372,33.0,fe710e6e-aaa4-4d6a-a947-3efb9a004ed4
fdea102e-0425-45ef-abb1-04047aef43e2,33kV Line TOWE3_2H3-TOWE32[sec]0,e07478ea-fd94-46d9-96fc-0d9e83fdb429,03af1be9-b8b7-4746-a433-602c572f137d,TOWE3_2H3,TOWE32,0.071084,0.104858,7.43301e-07,0.26,33.0,d7609d4b-6fc2-4b6b-b196-b9dc3d1986f1
