substation,technology,capacity_mw,curtailment_pct,binding_branch,confidence,confidence_reason,model_residual_mw,pel_mw,residual_pct_of_pel,model_residual_std,model_max_residual
MACH,BESS,30,19.29,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,BESS,50,30.06,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MAER,PV,5,0.18,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,PV,10,0.5,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,PV,20,2.62,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,PV,30,9.88,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,PV,50,28.46,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,Wind,5,6.32,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,Wind,10,11.4,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,Wind,20,22.61,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,Wind,30,32.18,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,Wind,50,46.24,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,BESS,5,2.16,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,BESS,10,4.68,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,BESS,20,14.82,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,BESS,30,30.37,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAER,BESS,50,45.0,55L7040P11->TOWE3T,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,17.605,,,
MAES,PV,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
MAES,PV,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
MAES,PV,20,0.0,,N/A,No curtailment — no binding constraint,,,,,
MAES,PV,30,0.09,TROS3_#4L5->MAES3_MAIN1,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,26.635,,,
MAES,PV,50,9.01,TROS3_#4L5->MAES3_MAIN1,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,26.635,,,
MAES,Wind,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
MAES,Wind,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
MAES,Wind,20,0.0,,N/A,No curtailment — no binding constraint,,,,,
MAES,Wind,30,0.02,TROS3_#4L5->MAES3_MAIN1,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,26.635,,,
MAES,Wind,50,9.44,TROS3_#4L5->MAES3_MAIN1,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,26.635,,,
MAES,BESS,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
MAES,BESS,10,0.0,,N/A,No curtailment — no binding constraint,,,,,
MAES,BESS,20,0.0,,N/A,No curtailment — no binding constraint,,,,,
MAES,BESS,30,4.07,TROS3_#4L5->MAES3_MAIN1,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,26.635,,,
