Half Hour,Wind,PV,BESS Export pu,BESS Import pu,Other
2024-09-25T12:00:00.000000000,0.21237438264493746,0.22509558765145282,1.0,-1.0,1.0
2024-09-25T12:30:00.000000000,0.26016336124173783,0.22144462697283462,0.25,-1.0,1.0
2024-09-25T13:00:00.000000000,0.3474533673710405,0.1880986979737606,0.25,-1.0,1.0
2024-09-25T13:30:00.000000000,0.42135921346098704,0.0982468123932471,0.25,-1.0,1.0
2024-09-25T14:00:00.000000000,0.4742051675695025,0.11552730298713416,0.25,-1.0,1.0
2024-09-25T14:30:00.000000000,0.47363478131404874,0.1610208779426351,0.25,-1.0,1.0
2024-09-25T15:00:00.000000000,0.46625863955095037,0.2386376344966994,0.25,-1.0,1.0
2024-09-25T15:30:00.000000000,0.5083408781009893,0.19492739981387203,0.25,-1.0,1.0
2024-09-25T16:00:00.000000000,0.44040862597855346,0.22307591362310764,1.0,-1.0,1.0
2024-09-25T16:30:00.000000000,0.3897600626007938,0.3286773818347358,1.0,-1.0,1.0
2024-09-25T17:00:00.000000000,0.39141305534432325,0.27395088298941034,1.0,-1.0,1.0
2024-09-25T17:30:00.000000000,0.33348759274611284,0.21611277446072016,1.0,-1.0,1.0
2024-09-25T18:00:00.000000000,0.27644294918192897,0.12738176598941664,1.0,-1.0,1.0
2024-09-25T18:30:00.000000000,0.24702931695535368,0.044506603075286144,1.0,-1.0,1.0
2024-09-25T19:00:00.000000000,0.21439279092307267,0.007888182821936613,1.0,-1.0,1.0
2024-09-25T19:30:00.000000000,0.26219516505949947,0.0,0.25,-1.0,1.0
2024-09-25T20:00:00.000000000,0.21429749201030807,0.0,1.0,-1.0,1.0
2024-09-25T20:30:00.000000000,0.19115450859690467,0.0,0.25,-1.0,1.0
2024-09-25T21:00:00.000000000,0.1534982346769233,0.0,0.25,-1.0,1.0
2024-09-25T21:30:00.000000000,0.118144396513515,0.0,0.25,-1.0,1.0
2024-09-25T22:00:00.000000000,0.11949500338660374,0.0,0.25,-1.0,1.0
2024-09-25T22:30:00.000000000,0.16917800480775186,0.0,0.25,-1.0,1.0
2024-09-25T23:00:00.000000000,0.22443753249807555,0.0,0.25,-1.0,1.0
2024-09-25T23:30:00.000000000,0.20670729817372943,0.0,0.25,-1.0,1.0
2024-09-26T00:00:00.000000000,0.27822400845177164,0.0,0.25,-1.0,1.0
2024-09-26T00:30:00.000000000,0.36679408770753086,0.0,0.25,-1.0,1.0
2024-09-26T01:00:00.000000000,0.3521056458099297,0.0,0.25,-1.0,1.0
2024-09-26T01:30:00.000000000,0.2490132381896173,0.0,0.25,-1.0,1.0
2024-09-26T02:00:00.000000000,0.17018185559312127,0.0,0.25,-1.0,1.0
2024-09-26T02:30:00.000000000,0.20620607610359276,0.0,0.25,-1.0,1.0
2024-09-26T03:00:00.000000000,0.2291810127720072,0.0,0.25,-1.0,1.0
2024-09-26T03:30:00.000000000,0.2525617034866807,0.0,0.25,-1.0,1.0
2024-09-26T04:00:00.000000000,0.08784469561822984,0.0,0.25,-1.0,1.0
2024-09-26T04:30:00.000000000,0.06455680765517709,0.0,0.25,-1.0,1.0
2024-09-26T05:00:00.000000000,0.09611739009110802,0.0,0.25,-1.0,1.0
2024-09-26T05:30:00.000000000,0.11958623797861592,0.0,1.0,-1.0,1.0
2024-09-26T06:00:00.000000000,0.13787155352249425,0.0,0.25,-1.0,1.0
2024-09-26T06:30:00.000000000,0.14464596545137856,0.0,0.25,-1.0,1.0
2024-09-26T07:00:00.000000000,0.14112228366648008,0.0,1.0,-1.0,1.0
2024-09-26T07:30:00.000000000,0.14594694983008866,0.005897983141600301,1.0,-1.0,1.0
2024-09-26T08:00:00.000000000,0.16130605602402345,0.028712162685141703,1.0,-1.0,1.0
2024-09-26T08:30:00.000000000,0.1901576121130104,0.07089409456237751,0.25,-1.0,1.0
2024-09-26T09:00:00.000000000,0.21153376818981187,0.1528271241564462,0.25,-1.0,1.0
2024-09-26T09:30:00.000000000,0.11383152248037452,0.28527651703498397,0.25,-1.0,1.0
2024-09-26T10:00:00.000000000,0.1148769688000284,0.28599657339788903,1.0,-1.0,1.0
2024-09-26T10:30:00.000000000,0.11815609254368041,0.3665581968053931,1.0,-1.0,1.0
2024-09-26T11:00:00.000000000,0.08043691848831198,0.31462195574388996,1.0,-1.0,1.0
2024-09-26T11:30:00.000000000,0.07197611103748375,0.5051355690583706,1.0,-1.0,1.0
2024-09-26T12:00:00.000000000,0.0631383680520953,0.45085578138278426,1.0,-1.0,1.0
2024-09-26T12:30:00.000000000,0.11914852366317186,0.5226894474817121,0.25,-1.0,1.0
2024-09-26T13:00:00.000000000,0.13100208299762356,0.4913505705613945,0.25,-1.0,1.0
2024-09-26T13:30:00.000000000,0.12696711840302288,0.509499125426311,0.25,-1.0,1.0
2024-09-26T14:00:00.000000000,0.1147659776515815,0.42226667073070706,0.25,-1.0,1.0
2024-09-26T14:30:00.000000000,0.13616209295112944,0.41490075303945706,0.25,-1.0,1.0
2024-09-26T15:00:00.000000000,0.10075604296169353,0.4754046434274446,0.25,-1.0,1.0
2024-09-26T15:30:00.000000000,0.12065712036788005,0.32805974883041017,0.25,-1.0,1.0
2024-09-26T16:00:00.000000000,0.156849275800016,0.18008411024829407,0.25,-1.0,1.0
2024-09-26T16:30:00.000000000,0.2916694487889829,0.2669366537107955,0.25,-1.0,1.0
2024-09-26T17:00:00.000000000,0.22667448082443456,0.19653874874018365,1.0,-1.0,1.0
2024-09-26T17:30:00.000000000,0.141128197954867,0.09170050391038359,1.0,-1.0,1.0
2024-09-26T18:00:00.000000000,0.10777853722571365,0.032609877705437405,1.0,-1.0,1.0
2024-09-26T18:30:00.000000000,0.10749807379666933,0.01173203414724901,1.0,-1.0,1.0
2024-09-26T19:00:00.000000000,0.17826295672526335,0.0011025880417402318,0.25,-1.0,1.0
2024-09-26T19:30:00.000000000,0.28230357028020026,0.0,0.25,-1.0,1.0
2024-09-26T20:00:00.000000000,0.22832177067796228,0.0,1.0,-1.0,1.0
2024-09-26T20:30:00.000000000,0.20344338408800372,0.0,1.0,-1.0,1.0
2024-09-26T21:00:00.000000000,0.16325866220839388,0.0,1.0,-1.0,1.0
2024-09-26T21:30:00.000000000,0.09125684574891556,0.0,1.0,-1.0,1.0
2024-09-26T22:00:00.000000000,0.1433053445112643,0.0,0.25,-1.0,1.0
2024-09-26T22:30:00.000000000,0.15324479638913413,0.0,0.25,-1.0,1.0
2024-09-26T23:00:00.000000000,0.16077518211579145,0.0,0.25,-1.0,1.0
2024-09-26T23:30:00.000000000,0.34072430498091105,0.0,0.25,-1.0,1.0
2024-09-27T00:00:00.000000000,0.5426293975787402,0.0,0.25,-1.0,1.0
2024-09-27T00:30:00.000000000,0.641641564992213,0.0,0.25,-1.0,1.0
2024-09-27T01:00:00.000000000,0.6907949631057204,0.0,0.25,-1.0,1.0
2024-09-27T01:30:00.000000000,0.7134420433427733,0.0,0.25,-1.0,1.0
2024-09-27T02:00:00.000000000,0.6816081934445222,0.0,0.25,-1.0,1.0
2024-09-27T02:30:00.000000000,0.6484455744158995,0.0,0.25,-1.0,1.0
2024-09-27T03:00:00.000000000,0.7493339671520511,0.0,0.25,-1.0,1.0
2024-09-27T03:30:00.000000000,0.7432539386178448,0.0,0.25,-1.0,1.0
2024-09-27T04:00:00.000000000,0.7527619549287973,0.0,0.25,-1.0,1.0
2024-09-27T04:30:00.000000000,0.8095634727997809,0.0,0.25,-1.0,1.0
2024-09-27T05:00:00.000000000,0.7843547755824531,0.0,1.0,-1.0,1.0
2024-09-27T05:30:00.000000000,0.8237582208673041,0.0,0.25,-1.0,1.0
2024-09-27T06:00:00.000000000,0.7993272130817723,0.0,1.0,-1.0,1.0
2024-09-27T06:30:00.000000000,0.7554819156840304,0.0,0.25,-1.0,1.0
2024-09-27T07:00:00.000000000,0.7707089360782147,0.0,1.0,-1.0,1.0
2024-09-27T07:30:00.000000000,0.6746202139964783,0.0010855678847985987,1.0,-1.0,1.0
2024-09-27T08:00:00.000000000,0.6003208436332335,0.01607023055784311,1.0,-1.0,1.0
2024-09-27T08:30:00.000000000,0.6556928216701396,0.042165329879883674,1.0,-1.0,1.0
2024-09-27T09:00:00.000000000,0.6704165231956037,0.08602778990766474,1.0,-1.0,1.0
2024-09-27T09:30:00.000000000,0.671275037335618,0.13370533192232967,1.0,-1.0,1.0
2024-09-27T10:00:00.000000000,0.6791638596045172,0.20577877234874142,0.25,-1.0,1.0
2024-09-27T10:30:00.000000000,0.6126422195368721,0.3268492369090049,1.0,-1.0,1.0
2024-09-27T11:00:00.000000000,0.6442637551322761,0.38396521037846093,0.25,-1.0,1.0
2024-09-27T11:30:00.000000000,0.6724174317758218,0.5517240140171412,0.25,-1.0,1.0
2024-09-27T12:00:00.000000000,0.6118087035269228,0.5810498237854758,0.25,-1.0,1.0
2024-09-27T12:30:00.000000000,0.6121579140236673,0.580819870118327,0.25,-1.0,1.0
2024-09-27T13:00:00.000000000,0.6499952622785466,0.7376749857349522,0.25,-1.0,1.0
2024-09-27T13:30:00.000000000,0.5545578867333646,0.7243361303807768,0.25,-1.0,1.0
2024-09-27T14:00:00.000000000,0.5699099569675936,0.7957946006215736,0.25,-1.0,1.0
2024-09-27T14:30:00.000000000,0.61241142009501,0.7447546269242427,0.25,-1.0,1.0
2024-09-27T15:00:00.000000000,0.5879760258018197,0.6665279738613423,0.25,-1.0,1.0
2024-09-27T15:30:00.000000000,0.6147066417849515,0.6860577572589053,0.25,-1.0,1.0
2024-09-27T16:00:00.000000000,0.6544488445231834,0.6058653643375086,0.25,-1.0,1.0
2024-09-27T16:30:00.000000000,0.6359749654774364,0.44785249158732904,0.25,-1.0,1.0
2024-09-27T17:00:00.000000000,0.6547244113493994,0.332073209615681,0.25,-1.0,1.0
2024-09-27T17:30:00.000000000,0.5324009138297797,0.22521253542300396,1.0,-1.0,1.0
2024-09-27T18:00:00.000000000,0.5195517111506628,0.18118315606938004,1.0,-1.0,1.0
2024-09-27T18:30:00.000000000,0.55992881466005,0.07455250345750905,1.0,-1.0,1.0
2024-09-27T19:00:00.000000000,0.48204432119399426,0.011948071539118721,1.0,-1.0,1.0
2024-09-27T19:30:00.000000000,0.4482886189416021,0.000010079832271591001,0.25,-1.0,1.0
2024-09-27T20:00:00.000000000,0.3557800713292163,0.0,0.25,-1.0,1.0
2024-09-27T20:30:00.000000000,0.3216133318606181,0.0,0.25,-1.0,1.0
2024-09-27T21:00:00.000000000,0.38302109844780624,0.0,0.25,-1.0,1.0
2024-09-27T21:30:00.000000000,0.28307181926633207,0.0,1.0,-1.0,1.0
2024-09-27T22:00:00.000000000,0.23467632852308434,0.0,0.25,-1.0,1.0
2024-09-27T22:30:00.000000000,0.29944659894474374,0.0,0.25,-1.0,1.0
2024-09-27T23:00:00.000000000,0.2235859013703515,0.0,0.25,-1.0,1.0
2024-09-27T23:30:00.000000000,0.26264915419002766,0.0,0.25,-1.0,1.0
2024-09-28T00:00:00.000000000,0.3012117404970621,0.0,0.25,-1.0,1.0
2024-09-28T00:30:00.000000000,0.30759704262768145,0.0,0.25,-1.0,1.0
2024-09-28T01:00:00.000000000,0.24386801835417127,0.0,0.25,-1.0,1.0
2024-09-28T01:30:00.000000000,0.17736385286588255,0.0,0.25,-1.0,1.0
2024-09-28T02:00:00.000000000,0.25349918412978806,0.0,0.25,-1.0,1.0
2024-09-28T02:30:00.000000000,0.22319883136902605,0.0,0.25,-1.0,1.0
2024-09-28T03:00:00.000000000,0.19580204347687208,0.0,0.25,-1.0,1.0
2024-09-28T03:30:00.000000000,0.17358918633525028,0.0,0.25,-1.0,1.0
2024-09-28T04:00:00.000000000,0.18203046327907896,0.0,0.25,-1.0,1.0
2024-09-28T04:30:00.000000000,0.17138009112052816,0.0,0.25,-1.0,1.0
2024-09-28T05:00:00.000000000,0.17155517090321082,0.0,1.0,-1.0,1.0
2024-09-28T05:30:00.000000000,0.16097188106991134,0.0,1.0,-1.0,1.0
2024-09-28T06:00:00.000000000,0.1151031134652119,0.0,1.0,-1.0,1.0
2024-09-28T06:30:00.000000000,0.10154614980256416,0.0,1.0,-1.0,1.0
2024-09-28T07:00:00.000000000,0.11507503011979667,0.0,1.0,-1.0,1.0
2024-09-28T07:30:00.000000000,0.11907454105730264,0.004044143661356803,1.0,-1.0,1.0
2024-09-28T08:00:00.000000000,0.139165816903225,0.03407246860050967,1.0,-1.0,1.0
2024-09-28T08:30:00.000000000,0.11458386899487824,0.11170496085583015,1.0,-1.0,1.0
2024-09-28T09:00:00.000000000,0.09214006913013478,0.17923342296522313,0.25,-1.0,1.0
2024-09-28T09:30:00.000000000,0.1215644377060871,0.3653975080082317,0.25,-1.0,1.0
2024-09-28T10:00:00.000000000,0.11146564967976905,0.4693177575016901,0.25,-1.0,1.0
2024-09-28T10:30:00.000000000,0.11430658092776899,0.5398843195305841,0.25,-1.0,1.0
2024-09-28T11:00:00.000000000,0.09126339458571295,0.6133906305692213,0.25,-1.0,1.0
2024-09-28T11:30:00.000000000,0.0768592326259189,0.620193594673274,0.25,-1.0,1.0
2024-09-28T12:00:00.000000000,0.03566039245967277,0.565361544414133,0.25,-1.0,1.0
2024-09-28T12:30:00.000000000,0.05117688006440721,0.5362599110237058,0.25,-1.0,1.0
2024-09-28T13:00:00.000000000,0.0172542010869708,0.38429301902125346,0.25,-1.0,1.0
2024-09-28T13:30:00.000000000,0.007134139609511156,0.4670232788157739,0.25,-1.0,1.0
2024-09-28T14:00:00.000000000,0.010533932555498136,0.326027652238556,1.0,-1.0,1.0
2024-09-28T14:30:00.000000000,0.009443757018216361,0.4685325274873926,0.25,-1.0,1.0
2024-09-28T15:00:00.000000000,0.020191082055777892,0.3953084340801418,1.0,-1.0,1.0
2024-09-28T15:30:00.000000000,0.02094396143048342,0.3309827059488182,0.25,-1.0,1.0
2024-09-28T16:00:00.000000000,0.011023007074092069,0.26692656328289943,0.25,-1.0,1.0
2024-09-28T16:30:00.000000000,0.0053860278417035435,0.19448862472088643,0.25,-1.0,1.0
2024-09-28T17:00:00.000000000,0.006464624995298201,0.15033124714941093,1.0,-1.0,1.0
2024-09-28T17:30:00.000000000,0.015552112327648613,0.16808009215585046,1.0,-1.0,1.0
2024-09-28T18:00:00.000000000,0.015905622100959506,0.10257488956201856,1.0,-1.0,1.0
2024-09-28T18:30:00.000000000,0.025646488776756453,0.04872701904027257,1.0,-1.0,1.0
2024-09-28T19:00:00.000000000,0.020552526791897906,0.006002044020337617,1.0,-1.0,1.0
2024-09-28T19:30:00.000000000,0.024094350018419204,0.0,0.25,-1.0,1.0
2024-09-28T20:00:00.000000000,0.009278829092526296,0.0,0.25,-1.0,1.0
2024-09-28T20:30:00.000000000,0.002479793303646553,0.0,0.25,-1.0,1.0
2024-09-28T21:00:00.000000000,0.0018416529273511768,0.0,0.25,-1.0,1.0
2024-09-28T21:30:00.000000000,0.00008769775844529414,0.0,0.25,-1.0,1.0
2024-09-28T22:00:00.000000000,0.0009646753428982354,0.0,0.25,-1.0,1.0
2024-09-28T22:30:00.000000000,0.0034202125793664716,0.0,0.25,-1.0,1.0
2024-09-28T23:00:00.000000000,0.013877529675664153,0.0,0.25,-1.0,1.0
2024-09-28T23:30:00.000000000,0.045459041776768155,0.0,1.0,-1.0,1.0
