branch,published_sf,mean_implied,std_implied,p5,p95,n_obs,sign_correct,magnitude_error_pct,instability_pct,range_p5_p95
MAEG3_1L9->MAEG3T,0.051226373626373625,-0.004772560940731102,0.006418109716805245,-0.01431059208261137,0.00627632755938061,2395,False,-90.68339099007785,12.528916771693781,0.02058691964199198
MAET1->82D20S,-0.16317069597069597,-0.0010444643788926154,0.04466888934895968,-0.074913753268375,0.07103196555285597,2395,True,-99.35989463507578,27.375558511426476,0.14594571882123097
MAET1->HIRW1_103,0.16317069597069597,-0.004265156203735284,0.028170815143772652,-0.056044120902065106,0.0348207222540394,2395,False,-97.38607709039786,17.26462890667077,0.0908648431561045
MAET1M->82D20N,-0.16391391941391942,-0.0017874109862007364,0.029845724722922514,-0.044337663944467726,0.050562746975786166,2395,True,-98.90954289142027,18.20816976961875,0.09490041092025389
MAET1M->HIRW1_203,0.16391391941391942,0.0017874109862007364,0.029845724722922514,-0.05056274697578621,0.04433766394446768,2395,True,-98.90954289142027,18.20816976961875,0.09490041092025389
MGWT1->PP1N1,0.24162280355380056,0.031462598203781424,0.06229490055920085,-0.07576203399370822,0.12358288620657695,2395,True,-86.97863043511295,25.781879707943236,0.19934492020028516
MGWT1->SWAN1_205,-0.24162280355380056,-0.03179131041209443,0.13260705709991158,-0.2657913196548905,0.16607332178610382,2395,True,-86.84258689804679,54.88184689090607,0.43186464144099435
MGWT1M->PP1S1,0.2948340572556762,0.027729635296560994,0.12734069338414244,-0.16897422314307609,0.2578570690367476,2395,True,-90.59483305467856,43.190632238837416,0.4268312921798237
MYNG3_1L9->MYNG3_#1L5,0.9993000000000001,0.0015148665677391642,0.010966913218625161,-0.012316733837891026,0.02406904080438179,2395,True,-99.8484072282859,1.0974595435429961,0.036385774642272814
PP1N1->82C66N,0.4923,0.03629431453795185,0.02563085689367247,-0.008052607173692928,0.07556100283056154,2395,True,-92.62760216576238,5.206349155732778,0.08361361000425446
PP1S1->82C66S,0.4291,0.026581410676485596,0.02430476322548735,-0.01648328246487155,0.06181873979890753,2395,True,-93.8053109586377,5.664125664294419,0.07830202226377908
RAVE3_#1L5->CLAS3_#1L5,-0.2203,0.006200158612338248,0.006685625668394237,-0.0023424694040311625,0.017788274043947394,2395,False,-97.18558392540251,3.0347824186991543,0.020130743447978557
RAVE3_#1L5->WAUN3_2L5,0.2203,-0.006200158612338248,0.006685625668394237,-0.017788274043947422,0.002342469404031161,2395,False,-97.18558392540251,3.0347824186991543,0.020130743447978584
