scenario,substation,technology,capacity_mw,curtailment_pct,curtailed_mwh,total_mwh,curtailed_hours,binding_branch,exceeds_2000h,exceeds_1000h
Post-Gate 2 (high attrition),LLAY,PV,20,0.16,35,22257,8,LAMP3_2L5->LWNI3_2L3,False,False
Post-Gate 2 (high attrition),LLAY,Wind,20,0.21,107,50570,24,LAMP3_2L5->LWNI3_2L3,False,False
Post-Gate 2 (high attrition),LLAY,BESS,20,0.1,83,80812,12,LAMP3_2L5->LWNI3_2L3,False,False
Post-Gate 2 (high attrition),LLCY,PV,20,0.0,1,22257,1,TIRJ3_#5L5->LLCY3_MAIN1,False,False
Post-Gate 2 (high attrition),LLCY,Wind,20,0.02,12,50570,3,TIRJ3_#5L5->LLCY3_MAIN1,False,False
Post-Gate 2 (high attrition),LLCY,BESS,20,0.39,311,80812,41,TIRJ3_#5L5->LLCY3_MAIN1,False,False
Post-Gate 2 (high attrition),LLNT,PV,20,6.9,1536,22257,380,LLNT3_#1L0->TROS3_#1L5,False,False
Post-Gate 2 (high attrition),LLNT,Wind,20,0.19,94,50570,52,LLNT3_#1L0->TROS3_#1L5,False,False
Post-Gate 2 (high attrition),LLNT,BESS,20,1.43,1159,80812,302,LLNT3_#1L0->TROS3_#1L5,False,False
Post-Gate 2 (high attrition),LRHI,PV,20,2.83,630,22257,296,WAUN3_4L5->LRHI3_#1L5,False,False
Post-Gate 2 (high attrition),LRHI,Wind,20,1.01,513,50570,370,WAUN3_4L5->LRHI3_#1L5,False,False
Post-Gate 2 (high attrition),LRHI,BESS,20,12.16,9829,80812,2458,WAUN3_4L5->LRHI3_#1L5,True,True
Post-Gate 2 (high attrition),LWNI,PV,20,0.07,15,22257,24,RHOS3_2L5->LWNI3_1L3,False,False
Post-Gate 2 (high attrition),LWNI,Wind,20,3.36,1697,50570,726,RHOS3_2L5->LWNI3_1L3,False,False
Post-Gate 2 (high attrition),LWNI,BESS,20,9.54,7706,80812,2402,RHOS3_2L5->LWNI3_1L3,True,True
Post-Gate 2 (high attrition),Lampeter,PV,20,0.29,64,22257,10,LAMP3_2L5->LWNI3_2L3,False,False
Post-Gate 2 (high attrition),Lampeter,Wind,20,0.56,285,50570,52,LAMP3_2L5->LWNI3_2L3,False,False
Post-Gate 2 (high attrition),Lampeter,BESS,20,0.23,190,80812,28,LAMP3_2L5->LWNI3_2L3,False,False
Post-Gate 2 (high attrition),Llanarth,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),Llanarth,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),Llanarth,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),MACH,PV,20,4.56,1014,22257,400,ABYS1_213->ABYS3_2T0,False,False
Post-Gate 2 (high attrition),MACH,Wind,20,14.94,7554,50570,1041,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (high attrition),MACH,BESS,20,15.06,12173,80812,1416,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (high attrition),MAER,PV,20,2.62,584,22257,225,55L7040P11->TOWE3T,False,False
Post-Gate 2 (high attrition),MAER,Wind,20,22.61,11432,50570,1590,55L7040P11->TOWE3T,False,True
Post-Gate 2 (high attrition),MAER,BESS,20,14.82,11976,80812,2230,55L7040P11->TOWE3T,True,True
Post-Gate 2 (high attrition),MAES,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),MAES,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),MAES,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),MYND,PV,20,4.53,1009,22257,398,ABYS1_213->ABYS3_2T0,False,False
Post-Gate 2 (high attrition),MYND,Wind,20,14.73,7447,50570,1020,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (high attrition),MYND,BESS,20,14.91,12053,80812,1401,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (high attrition),NANG,PV,20,25.06,5578,22257,1149,NANG3_#1L5->WGWB3_2L3,False,True
Post-Gate 2 (high attrition),NANG,Wind,20,16.65,8422,50570,2293,NANG3_#1L5->WGWB3_2L3,True,True
Post-Gate 2 (high attrition),NANG,BESS,20,33.35,26949,80812,2484,NANG3_#1L5->WGWB3_2L3,True,True
Post-Gate 2 (high attrition),NEVE,PV,20,15.18,3378,22257,694,BRID3_2L9->BRID3_2L5,False,False
Post-Gate 2 (high attrition),NEVE,Wind,20,2.21,1115,50570,508,LWND3T->58L5303P19,False,False
Post-Gate 2 (high attrition),NEVE,BESS,20,12.72,10282,80812,2450,LWND3T->58L5303P19,True,True
Post-Gate 2 (high attrition),NEWL,PV,20,24.91,5544,22257,1002,W38_3S->NEWL3_1L3,False,True
Post-Gate 2 (high attrition),NEWL,Wind,20,7.93,4008,50570,1414,W38_3S->NEWL3_1L3,False,True
Post-Gate 2 (high attrition),NEWL,BESS,20,24.65,19920,80812,2598,W38_3S->NEWL3_1L3,True,True
Post-Gate 2 (high attrition),PCYL,PV,20,4.59,1021,22257,402,ABYS1_213->ABYS3_2T0,False,False
Post-Gate 2 (high attrition),PCYL,Wind,20,15.14,7654,50570,1061,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (high attrition),PCYL,BESS,20,15.24,12315,80812,1430,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (high attrition),PEND,PV,20,11.72,2608,22257,796,SPRI3->58L5296P162,False,False
Post-Gate 2 (high attrition),PEND,Wind,20,19.38,9799,50570,1903,CARM3_8L5->PEND3T,False,True
Post-Gate 2 (high attrition),PEND,BESS,20,28.14,22743,80812,2648,SPRI3->58L5296P162,True,True
Post-Gate 2 (high attrition),PGTN,PV,20,1.97,437,22257,240,TRAB3M->TRAV3_3L9,False,False
Post-Gate 2 (high attrition),PGTN,Wind,20,1.73,876,50570,520,TRAB3M->TRAV3_3L9,False,False
Post-Gate 2 (high attrition),PGTN,BESS,20,16.19,13083,80812,2470,TRAB3M->TRAV3_3L9,True,True
Post-Gate 2 (high attrition),PNTA,PV,20,6.62,1474,22257,476,CYNH3->PONY3_#2L5,False,False
Post-Gate 2 (high attrition),PNTA,Wind,20,2.97,1499,50570,706,CYNH3->PONY3_#2L5,False,False
Post-Gate 2 (high attrition),PNTA,BESS,20,17.56,14190,80812,2460,CYNH3->PONY3_#2L5,True,True
Post-Gate 2 (high attrition),PONA,PV,20,8.01,1783,22257,571,PONA3_2L3->LAMP3_1L5,False,False
Post-Gate 2 (high attrition),PONA,Wind,20,2.81,1419,50570,762,PONA3_2L3->LAMP3_1L5,False,False
Post-Gate 2 (high attrition),PONA,BESS,20,21.74,17572,80812,2462,PONA3_2L3->LAMP3_1L5,True,True
Post-Gate 2 (high attrition),POND,PV,20,1.64,365,22257,214,POND3_#1L5->TRAV3_#3L5,False,False
Post-Gate 2 (high attrition),POND,Wind,20,0.99,498,50570,353,POND3_#1L5->TRAV3_#3L5,False,False
Post-Gate 2 (high attrition),POND,BESS,20,11.2,9048,80812,2438,POND3_#1L5->TRAV3_#3L5,True,True
Post-Gate 2 (high attrition),PONY,PV,20,7.94,1767,22257,466,FOSL3T->NEWL3_3L5,False,False
Post-Gate 2 (high attrition),PONY,Wind,20,1.25,633,50570,450,PONY3_#1L5->52L7800P1,False,False
Post-Gate 2 (high attrition),PONY,BESS,20,14.62,11816,80812,2460,PONY3_#1L5->52L7800P1,True,True
Post-Gate 2 (high attrition),RAVE,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),RAVE,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),RAVE,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),REDC,PV,20,0.48,107,22257,88,WGWB3_1L3->58L1323P59M,False,False
Post-Gate 2 (high attrition),REDC,Wind,20,9.92,5015,50570,823,WGWB3_1L3->58L1323P59M,False,False
Post-Gate 2 (high attrition),REDC,BESS,20,13.07,10565,80812,1372,WGWB3_1L3->58L1323P59M,False,True
Post-Gate 2 (high attrition),RGOS,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),RGOS,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),RGOS,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),RHYD,PV,20,5.08,1131,22257,434,ABYS1_213->ABYS3_2T0,False,False
Post-Gate 2 (high attrition),RHYD,Wind,20,14.81,7491,50570,1064,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (high attrition),RHYD,BESS,20,16.81,13583,80812,1614,RHYD1_113->RHYD3_1T0,False,True
Post-Gate 2 (high attrition),Rhos,PV,20,0.24,53,22257,20,LLAN3_1L5->BLAP3_3L5,False,False
Post-Gate 2 (high attrition),Rhos,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),Rhos,BESS,20,0.01,9,80812,4,LLAN3_1L5->BLAP3_3L5,False,False
Post-Gate 2 (high attrition),SOFI,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),SOFI,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),SOFI,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),STCL,PV,20,26.66,5934,22257,1370,CARM3_4L5->STCL3_MAIN1,False,True
Post-Gate 2 (high attrition),STCL,Wind,20,32.67,16522,50570,3124,CARM3_4L5->STCL3_MAIN1,True,True
Post-Gate 2 (high attrition),STCL,BESS,20,40.83,32998,80812,2704,CARM3_4L5->STCL3_MAIN1,True,True
Post-Gate 2 (high attrition),SWAU,PV,20,13.35,2972,22257,860,TSKT3_MAIN1->SWAU3_MAIN1,False,False
Post-Gate 2 (high attrition),SWAU,Wind,20,15.3,7735,50570,2066,TSKT3_MAIN1->SWAU3_MAIN1,True,True
Post-Gate 2 (high attrition),SWAU,BESS,20,31.52,25469,80812,2460,TSKT3_MAIN1->SWAU3_MAIN1,True,True
Post-Gate 2 (high attrition),Swansea North,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),Swansea North,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),Swansea North,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),Swansea West,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),Swansea West,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),Swansea West,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),TIMT,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),TIMT,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),TIMT,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),TREG,PV,20,0.3,66,22257,24,LDBF3_1L9->TREG3_2L3,False,False
Post-Gate 2 (high attrition),TREG,Wind,20,0.5,250,50570,50,LAMP3_2L5->LWNI3_2L3,False,False
Post-Gate 2 (high attrition),TREG,BESS,20,1.34,1083,80812,1104,LDBF3_1L9->TREG3_2L3,False,True
Post-Gate 2 (high attrition),TREV,PV,20,0.49,108,22257,88,WGWB3_1L3->58L1323P59M,False,False
Post-Gate 2 (high attrition),TREV,Wind,20,9.96,5036,50570,828,WGWB3_1L3->58L1323P59M,False,False
Post-Gate 2 (high attrition),TREV,BESS,20,13.14,10621,80812,1380,WGWB3_1L3->58L1323P59M,False,True
Post-Gate 2 (high attrition),TSKT,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),TSKT,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),TSKT,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),TUMB,PV,20,1.24,275,22257,174,CRHA3_#1L5->TUMB3_3L5,False,False
Post-Gate 2 (high attrition),TUMB,Wind,20,0.21,108,50570,118,CRHA3_#1L5->TUMB3_3L5,False,False
Post-Gate 2 (high attrition),TUMB,BESS,20,8.08,6531,80812,2339,CRHA3_#1L5->TUMB3_3L5,True,True
Post-Gate 2 (high attrition),TWYN,PV,20,4.57,1017,22257,400,ABYS1_213->ABYS3_2T0,False,False
Post-Gate 2 (high attrition),TWYN,Wind,20,15.1,7635,50570,1058,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (high attrition),TWYN,BESS,20,15.16,12252,80812,1422,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (high attrition),Tir John,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),Tir John,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),Tir John,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),Trostre,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (high attrition),Trostre,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),Trostre,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (high attrition),WAUN,PV,20,22.16,4932,22257,1414,CLAS3_#2L5->SWAN3_10L5,False,True
Post-Gate 2 (high attrition),WAUN,Wind,20,52.98,26793,50570,3822,CLAS3_#2L5->SWAN3_10L5,True,True
Post-Gate 2 (high attrition),WAUN,BESS,20,54.72,44223,80812,4730,GARN3_4L5->WAUN3_3L5,True,True
Post-Gate 2 (high attrition),WESX,PV,20,0.24,53,22257,34,UPLT31->WESX3_MAIN1,False,False
Post-Gate 2 (high attrition),WESX,Wind,20,0.03,16,50570,32,UPLT31->WESX3_MAIN1,False,False
Post-Gate 2 (high attrition),WESX,BESS,20,3.73,3016,80812,2101,UPLT31->WESX3_MAIN1,True,True
Post-Gate 2 (high attrition),WGWB,PV,20,12.32,2743,22257,732,WGWB3_1L3->58L1323P59M,False,False
Post-Gate 2 (high attrition),WGWB,Wind,20,11.53,5833,50570,1620,NANG3_#1L5->WGWB3_2L3,False,True
Post-Gate 2 (high attrition),WGWB,BESS,20,27.03,21840,80812,2460,58L1323P59M->CWFR3_5L3,True,True
Post-Gate 2 (high attrition),WHIT,PV,20,28.18,6271,22257,1388,WHIT3_MAIN2A->WHIT3_MAIN2B,False,True
Post-Gate 2 (high attrition),WHIT,Wind,20,29.19,14759,50570,3016,WHIT3_MAIN2A->WHIT3_MAIN2B,True,True
Post-Gate 2 (high attrition),WHIT,BESS,20,39.6,32004,80812,2648,WHIT3_MAIN2A->WHIT3_MAIN2B,True,True
Post-Gate 2 (high attrition),WSTC,PV,20,15.86,3530,22257,664,HIRW3_2L5->HNDR3T,False,False
Post-Gate 2 (high attrition),WSTC,Wind,20,0.71,359,50570,161,HIRW3_2L5->HNDR3T,False,False
Post-Gate 2 (high attrition),WSTC,BESS,20,8.06,6517,80812,2092,HIRW3_2L5->HNDR3T,True,True
Post-Gate 2 (high attrition),YNST,PV,20,0.01,3,22257,4,YNST5_1T0->YNST3,False,False
Post-Gate 2 (high attrition),YNST,Wind,20,1.56,787,50570,146,YNST5_1T0->YNST3,False,False
Post-Gate 2 (high attrition),YNST,BESS,20,1.83,1479,80812,212,YNST5_1T0->YNST3,False,False
Post-Gate 2 (high attrition),YNYS,PV,20,0.61,135,22257,59,55L7040P11->TOWE3T,False,False
Post-Gate 2 (high attrition),YNYS,Wind,20,12.42,6280,50570,816,55L7040P11->TOWE3T,False,False
Post-Gate 2 (high attrition),YNYS,BESS,20,5.28,4264,80812,650,55L7040P11->TOWE3T,False,False
Post-Gate 2 (high attrition),YSTF,PV,20,3.27,728,22257,362,LDOV3_4L5->YSTF3_5L3,False,False
Post-Gate 2 (high attrition),YSTF,Wind,20,7.65,3868,50570,1264,LDOV3_4L5->YSTF3_5L3,False,True
Post-Gate 2 (high attrition),YSTF,BESS,20,22.11,17870,80812,2462,LDOV3_4L5->YSTF3_5L3,True,True
Post-Gate 2 (high attrition),Ystradgynlais,PV,20,0.03,6,22257,3,HIRW3_2L5->HNDR3T,False,False
Post-Gate 2 (high attrition),Ystradgynlais,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (high attrition),Ystradgynlais,BESS,20,0.0,3,80812,1,HIRW3_2L5->HNDR3T,False,False
SGT partial upgrade (+30% PEL),ABAE,PV,20,1.28,285,22257,188,ABAE3_1L3->LLAN3_2L5,False,False
SGT partial upgrade (+30% PEL),ABAE,Wind,20,0.61,310,50570,286,ABAE3_1L3->LLAN3_2L5,False,False
SGT partial upgrade (+30% PEL),ABAE,BESS,20,11.72,9474,80812,2460,ABAE3_1L3->LLAN3_2L5,True,True
SGT partial upgrade (+30% PEL),ABDA,PV,20,0.02,5,22257,7,ABDA3_2L5->HIRW3_6L5,False,False
SGT partial upgrade (+30% PEL),ABDA,Wind,20,0.06,29,50570,41,ABDA3_2L5->HIRW3_6L5,False,False
SGT partial upgrade (+30% PEL),ABDA,BESS,20,2.34,1887,80812,1082,ABDA3_2L5->HIRW3_6L5,False,True
SGT partial upgrade (+30% PEL),ABEC,PV,20,0.21,48,22257,30,HIRW3_2L5->HNDR3T,False,False
SGT partial upgrade (+30% PEL),ABEC,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),ABEC,BESS,20,0.04,32,80812,14,HIRW3_2L5->HNDR3T,False,False
SGT partial upgrade (+30% PEL),ABYS,PV,20,0.96,213,22257,100,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),ABYS,Wind,20,6.98,3532,50570,460,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),ABYS,BESS,20,6.46,5218,80812,704,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),ADVY,PV,20,0.95,211,22257,100,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),ADVY,Wind,20,6.89,3482,50570,450,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),ADVY,BESS,20,6.39,5167,80812,698,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),ALCO,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),ALCO,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),ALCO,BESS,20,0.0,0,80812,0,None,False,False
SGT partial upgrade (+30% PEL),Ammanford,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),Ammanford,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),Ammanford,BESS,20,0.0,0,80812,0,None,False,False
SGT partial upgrade (+30% PEL),BISH,PV,20,16.89,3758,22257,873,SWAW3_#10L5->52L6001P11,False,False
SGT partial upgrade (+30% PEL),BISH,Wind,20,9.58,4846,50570,1565,SWAW3_#10L5->52L6001P11,False,True
SGT partial upgrade (+30% PEL),BISH,BESS,20,26.24,21207,80812,2460,SWAW3_#10L5->52L6001P11,True,True
SGT partial upgrade (+30% PEL),BLAP,PV,20,4.02,895,22257,269,LLAN3_1L5->BLAP3_3L5,False,False
SGT partial upgrade (+30% PEL),BLAP,Wind,20,0.14,73,50570,34,LLAN3_1L5->BLAP3_3L5,False,False
SGT partial upgrade (+30% PEL),BLAP,BESS,20,0.88,712,80812,208,LLAN3_1L5->BLAP3_3L5,False,False
SGT partial upgrade (+30% PEL),BRID,PV,20,7.15,1590,22257,432,BRID3_2L9->BRID3_2L5,False,False
SGT partial upgrade (+30% PEL),BRID,Wind,20,0.4,203,50570,100,BRID3_2L9->BRID3_2L5,False,False
SGT partial upgrade (+30% PEL),BRID,BESS,20,4.24,3429,80812,1414,LWND3T->58L5303P19,False,True
SGT partial upgrade (+30% PEL),BWST,PV,20,0.96,215,22257,102,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),BWST,Wind,20,6.78,3431,50570,446,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),BWST,BESS,20,6.71,5420,80812,712,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),Briton Ferry,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),Briton Ferry,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),Briton Ferry,BESS,20,0.0,0,80812,0,None,False,False
SGT partial upgrade (+30% PEL),CARG,PV,20,6.98,1553,22257,484,LWND3T->58L5303P19,False,False
SGT partial upgrade (+30% PEL),CARG,Wind,20,1.24,628,50570,376,LWND3T->58L5303P19,False,False
SGT partial upgrade (+30% PEL),CARG,BESS,20,11.74,9485,80812,2458,LWND3T->58L5303P19,True,True
SGT partial upgrade (+30% PEL),CLAS,PV,20,22.01,4899,22257,1070,CLAS3_#2L5->SWAN3_10L5,False,True
SGT partial upgrade (+30% PEL),CLAS,Wind,20,32.06,16213,50570,2225,CLAS3_#2L5->SWAN3_10L5,True,True
SGT partial upgrade (+30% PEL),CLAS,BESS,20,31.8,25697,80812,3878,CLAS3_#2L5->SWAN3_10L5,True,True
SGT partial upgrade (+30% PEL),COMS,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),COMS,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),COMS,BESS,20,0.0,0,80812,0,None,False,False
SGT partial upgrade (+30% PEL),CRHA,PV,20,0.16,36,22257,38,CRHA3_#2L5->AMMA3_9L5,False,False
SGT partial upgrade (+30% PEL),CRHA,Wind,20,0.01,5,50570,16,CRHA3_#2L5->AMMA3_9L5,False,False
SGT partial upgrade (+30% PEL),CRHA,BESS,20,1.77,1430,80812,1176,CRHA3_#2L5->AMMA3_9L5,False,True
SGT partial upgrade (+30% PEL),CWFR,PV,20,0.43,95,22257,64,CWFR3_3L3->CARM3_7L5,False,False
SGT partial upgrade (+30% PEL),CWFR,Wind,20,2.18,1102,50570,348,WGWB3_1L3->58L1323P59M,False,False
SGT partial upgrade (+30% PEL),CWFR,BESS,20,7.17,5790,80812,1458,WGWB3_1L3->58L1323P59M,False,True
SGT partial upgrade (+30% PEL),Carmarthen,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),Carmarthen,Wind,20,0.12,60,50570,15,WGWB3_1L3->58L1323P59M,False,False
SGT partial upgrade (+30% PEL),Carmarthen,BESS,20,0.15,123,80812,39,WGWB3_1L3->58L1323P59M,False,False
SGT partial upgrade (+30% PEL),FOSL,PV,20,10.21,2272,22257,552,FOSL3T->NEWL3_3L5,False,False
SGT partial upgrade (+30% PEL),FOSL,Wind,20,0.73,370,50570,208,FOSL3T->NEWL3_3L5,False,False
SGT partial upgrade (+30% PEL),FOSL,BESS,20,8.41,6798,80812,2284,FOSL3T->NEWL3_3L5,True,True
SGT partial upgrade (+30% PEL),FRBN,PV,20,0.95,211,22257,101,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),FRBN,Wind,20,6.9,3487,50570,450,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),FRBN,BESS,20,6.42,5185,80812,702,ABYS1_213->ABYS3_2T0,False,False
SGT partial upgrade (+30% PEL),GARN,PV,20,15.65,3482,22257,544,CLAS3_#2L5->SWAN3_10L5,False,False
SGT partial upgrade (+30% PEL),GARN,Wind,20,23.15,11707,50570,1766,CLAS3_#2L5->SWAN3_10L5,False,True
SGT partial upgrade (+30% PEL),GARN,BESS,20,19.18,15501,80812,1889,CLAS3_#2L5->SWAN3_10L5,False,True
SGT partial upgrade (+30% PEL),GWAU,PV,20,7.4,1646,22257,722,GWAU3_#1H0->GWAU5_1T0,False,False
SGT partial upgrade (+30% PEL),GWAU,Wind,20,24.67,12476,50570,2205,GWAU3_#1H0->GWAU5_1T0,True,True
SGT partial upgrade (+30% PEL),GWAU,BESS,20,35.32,28541,80812,3036,GWAU3_#1H0->GWAU5_1T0,True,True
SGT partial upgrade (+30% PEL),Gowerton East,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),Gowerton East,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),Gowerton East,BESS,20,0.0,0,80812,0,None,False,False
SGT partial upgrade (+30% PEL),HEND,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),HEND,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),HEND,BESS,20,0.0,0,80812,0,None,False,False
SGT partial upgrade (+30% PEL),HOPK,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),HOPK,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),HOPK,BESS,20,0.0,0,80812,0,None,False,False
SGT partial upgrade (+30% PEL),Hirwaun,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),Hirwaun,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),Hirwaun,BESS,20,0.0,0,80812,0,None,False,False
SGT partial upgrade (+30% PEL),INCS,PV,20,44.71,9951,22257,806,52L6067P19->TYNY3T,False,False
SGT partial upgrade (+30% PEL),INCS,Wind,20,5.54,2801,50570,716,52L6067P19->TYNY3T,False,False
SGT partial upgrade (+30% PEL),INCS,BESS,20,6.9,5573,80812,806,52L6067P19->TYNY3T,False,False
SGT partial upgrade (+30% PEL),JERM,PV,20,0.0,0,22257,0,None,False,False
SGT partial upgrade (+30% PEL),JERM,Wind,20,0.0,0,50570,0,None,False,False
SGT partial upgrade (+30% PEL),JERM,BESS,20,0.0,0,80812,0,None,False,False
SGT partial upgrade (+30% PEL),KIDW,PV,20,6.26,1394,22257,388,FOSL3T->NEWL3_3L5,False,False
SGT partial upgrade (+30% PEL),KIDW,Wind,20,0.2,100,50570,60,FOSL3T->NEWL3_3L5,False,False
SGT partial upgrade (+30% PEL),KIDW,BESS,20,2.53,2046,80812,856,FOSL3T->NEWL3_3L5,False,False
SGT partial upgrade (+30% PEL),LBRI,PV,20,15.74,3504,22257,1004,YSTF3_#3L5->YSTF3_#4L5,False,True
SGT partial upgrade (+30% PEL),LBRI,Wind,20,25.16,12725,50570,2640,YSTF3_#3L5->YSTF3_#4L5,True,True
SGT partial upgrade (+30% PEL),LBRI,BESS,20,35.78,28912,80812,2460,YSTF3_#3L5->YSTF3_#4L5,True,True
SGT partial upgrade (+30% PEL),LDEI,PV,20,1.02,228,22257,116,LDEI3_4L5->NANG3_#2L5,False,False
SGT partial upgrade (+30% PEL),LDEI,Wind,20,0.98,496,50570,302,LDEI3_2L5->AMMA3_5L5,False,False
SGT partial upgrade (+30% PEL),LDEI,BESS,20,3.1,2506,80812,1500,LDEI3_2L5->AMMA3_5L5,False,True
SGT partial upgrade (+30% PEL),LDOV,PV,20,0.12,28,22257,24,PONA3_1L3->LDOV3_2L5,False,False
SGT partial upgrade (+30% PEL),LDOV,Wind,20,0.01,3,50570,4,LDEI3_2L5->AMMA3_5L5,False,False
SGT partial upgrade (+30% PEL),LDOV,BESS,20,0.65,522,80812,594,PONA3_1L3->LDOV3_2L5,False,False
SGT partial upgrade (+30% PEL),LFYR,PV,20,0.73,162,22257,96,CARM3_5L5->STCL3_MAIN2,False,False
SGT partial upgrade (+30% PEL),LFYR,Wind,20,4.07,2057,50570,712,CARM3_5L5->STCL3_MAIN2,False,False
SGT partial upgrade (+30% PEL),LFYR,BESS,20,4.62,3736,80812,1186,CARM3_5L5->STCL3_MAIN2,False,True
SGT partial upgrade (+30% PEL),LGAD,PV,20,0.16,36,22257,24,LDEI3_4L5->NANG3_#2L5,False,False
SGT partial upgrade (+30% PEL),LGAD,Wind,20,0.16,79,50570,82,LGAD3_2L3->MANO3T,False,False
SGT partial upgrade (+30% PEL),LGAD,BESS,20,0.67,544,80812,658,LGAD3_2L3->MANO3T,False,False
