mrid,name,n_windings,container,end1_node,end1_name,end1_kv,end1_r,end1_x,end1_rated_s,end2_node,end2_name,end2_kv,end2_r,end2_x,end2_rated_s,end3_node,end3_name,end3_kv,end3_r,end3_x,end3_rated_s
795e8627-cf1e-422e-aa1f-5fbdfc69e253,33/11kV 2WT CLAS3_#1H0-CLAS5_1T0,2,b9a3f6f5-92a1-4115-8464-436d7d221362,431beab6-68eb-46f3-b022-a084d8441ca3,CLAS3_#1H0,33.0,0.532303,12.1307,100.0,5d79fd42-50ff-46f6-9ffd-aa2bc666367a,CLAS5_1T0,11.0,0.0,0.0,100.0,,,,,,
8eaedfce-6885-4bec-8cb0-6b48c974830e,33/11kV 2WT COMS3_1H3-COMS5_1T0,2,e52e9f42-f97a-4493-8f2e-77f72b47e4c7,9cd4e4f8-fc68-4a86-96ad-44f9d0fa2a6d,COMS3_1H3,33.0,0.450846,9.79011,100.0,a78d3117-f094-4942-970b-bc510fa1d5e8,COMS5_1T0,11.0,0.0,0.0,100.0,,,,,,
ef4ba9fd-8813-4d02-a2c3-57a1882c0726,33/11kV 2WT COMS3_2H3-COMS5_2T0,2,e52e9f42-f97a-4493-8f2e-77f72b47e4c7,67fa63ac-2c8b-4c76-8b8a-65cd398b38e6,COMS3_2H3,33.0,0.534547,12.3482,100.0,59e32398-15c1-4173-8b36-8165e31d50c8,COMS5_2T0,11.0,0.0,0.0,100.0,,,,,,
d4179012-2de6-4787-9a66-905c7aa9216e,33/11kV 2WT COUR3-COUR5_1T0,2,e7cd7450-ce00-4cd7-8234-7e9abafc8e21,d53fe042-3880-4702-ad78-597ca608d902,COUR3,33.0,0.851816,12.3552,100.0,2e77811c-d644-44d1-8d03-6aea4f5a914d,COUR5_1T0,11.0,0.0,0.0,100.0,,,,,,
6fa07034-42f3-4360-b99b-8559f183ac30,33/11kV 2WT COWB3_1H3-COWB5_1T0,2,34c2aa44-de9c-4f55-8ee0-b82652be44b3,58ddfddf-5498-4627-99a5-40c89847c044,COWB3_1H3,33.0,0.498,12.1867,100.0,7b0bb533-c71b-48ae-8337-fee47899d253,COWB5_1T0,11.0,0.0,0.0,100.0,,,,,,
50861012-a573-478a-9975-398978f46596,33/11kV 2WT COWB3_2H3-COWB5_2T0,2,34c2aa44-de9c-4f55-8ee0-b82652be44b3,4cb2bd5c-0f69-4ed4-aac1-e8ccd1e7c25b,COWB3_2H3,33.0,0.501288,12.1598,100.0,d7993808-5282-4134-8e19-84fb562e7f8d,COWB5_2T0,11.0,0.0,0.0,100.0,,,,,,
dea754b0-9806-40a8-ab81-a17c8c0a32c5,33/11kV 2WT CREI3_1H3-CREI5_1T0,2,a609984b-0c3d-47d4-b651-9fc91d5a14c5,fd24b492-f9f9-467b-a6e6-1944005c5401,CREI3_1H3,33.0,0.926739,12.0084,100.0,9aef9d94-1242-453b-990e-52a4ba693b05,CREI5_1T0,11.0,0.0,0.0,100.0,,,,,,
a0ab3d3c-a906-42ce-a3f9-a42fa7632d27,33/11kV 2WT CREI3_2H3-CREI5_2T0,2,a609984b-0c3d-47d4-b651-9fc91d5a14c5,db6337e1-9a16-4321-988e-12781cacee81,CREI3_2H3,33.0,1.08138,12.4331,100.0,033e1720-3874-4a12-b8da-b9168edf57cb,CREI5_2T0,11.0,0.0,0.0,100.0,,,,,,
e0cfe680-65e6-4dfb-83cb-b074fb8d7893,33/11kV 2WT CRHA3_#1H0-CRHA5_1T0,2,45f4fe7f-a102-4f83-84a4-13399ed6c429,4a0253ff-5056-4b70-a43b-b2598a3d1638,CRHA3_#1H0,33.0,0.640332,8.60092,100.0,7c372a9e-4ee9-4e4b-9cc5-842b46fbbfbd,CRHA5_1T0,11.0,0.0,0.0,100.0,,,,,,
40a88524-d686-4393-bb18-a47d4ac8e28b,33/11kV 2WT CRHA3_#2H0-CRHA5_2T0,2,45f4fe7f-a102-4f83-84a4-13399ed6c429,fb2f78bf-d6bc-4309-88b8-d64d62da5ea7,CRHA3_#2H0,33.0,0.853014,11.9064,100.0,10af3bc9-3bb3-4be6-894e-71ec3c5a95b2,CRHA5_2T0,11.0,0.0,0.0,100.0,,,,,,
