mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
9c36f207-f572-4096-95e9-13ad346f5a5c,66kV Line LLTA6_2L5-ROGE6_1L3[sec]0,deb537f2-cc5c-4723-8357-af8ce87776a0,8a751fec-8943-449f-a010-c5bb016335de,LLTA6_2L5,ROGE6_1L3,1.18273,2.41696,7.68988e-05,7.1,66.0,914b85fc-16eb-415b-abce-387528fdbf98
e3ac78f0-f353-4843-9a9f-28292783b5d0,66kV Line LLTA6_3L5-ROGE6_2L3[sec]0,946cf39d-a77c-42b7-b593-0da4007c0824,988f858b-2507-44f8-89e7-5dc4cf4a1bcd,LLTA6_3L5,ROGE6_2L3,2.00593,4.09204,7.83556e-05,11.602,66.0,5d02e544-dbac-48d8-b5bf-fd078e85c74d
69654cea-08bc-4230-90d8-712c3e4b6069,66kV Line LLTA6_5L5-POPN6T[sec]0,abadcd3c-1263-426c-8500-7df416c5847a,13ee844f-a012-4c3f-b3ff-a90ad0a47aa4,LLTA6_5L5,POPN6T,1.56491,3.75477,0.000140314,10.667,66.0,d7accdb3-19f8-461f-bdb6-57cffdd27f61
b18a7074-6cd4-4a82-a7f2-71083edf198d,66kV Line LLYN64-MYAB6T[sec]0,4881ad14-175a-4193-b3b7-d903785f4f48,0b3ea5c0-b75c-4011-9ae4-7bfbe5111b7d,LLYN64,MYAB6T,0.219659,0.575502,9.2241e-05,2.101,66.0,90867045-481b-43c4-bebb-67bf95c1a2c1
026f86da-254a-412d-8fbe-3301ff97fd2a,66kV Line LLYN6_1L5-CAEA6_MAIN1[sec]0,f9e77c27-615c-47c2-93cc-113916827827,68b26681-a486-41df-99c0-ac5bd3f3a9a5,LLYN6_1L5,CAEA6_MAIN1,1.31516,3.79504,2.86628e-05,9.706,66.0,5136d6a3-b28f-4f15-b753-5dbec21268da
2435cfd9-bd62-417e-8843-2dcb08a293cd,66kV Line LLYN6_3L5-56L8093P62A[sec]0,84f379f7-b96a-4f58-926a-255bd00af793,e50f60bf-329a-4d85-a15a-f3b47ac7a609,LLYN6_3L5,56L8093P62A,1.19244,3.30743,3.14525e-05,8.583,66.0,efd597f6-49ef-42b7-8cf3-e682fd31f12f
153263a5-0dbd-40c8-a6f8-d4d06dd44948,66kV Line LLYN6_4L5-CAEA6_MAIN2[sec]0,b013e501-958e-4a78-b67f-e6b1341fb82d,72dd0bbf-027f-497a-bad1-5605121fcccd,LLYN6_4L5,CAEA6_MAIN2,1.34368,3.81664,2.77688e-05,9.828,66.0,2fb5984a-166b-43f5-b70d-e0bd208aae64
e3ab928f-b6a7-4d9e-93bd-3cb11a46cd73,66kV Line LLYN6_6L5-OGMV6_MAIN2[sec]0,573b9282-3a00-4d27-b521-0984157dec9f,9aac04b0-cd0b-4b1c-8af0-14d22371ae8b,LLYN6_6L5,OGMV6_MAIN2,1.1424,3.29652,2.48976e-05,8.431,66.0,502c5e59-a201-46b2-a065-8f5114b02d74
2d2f3d85-8e2f-4396-a97c-641b74971b44,33kV Line LNTH3_3L9-LNTH3_#1L5[sec]0,19e4a86b-ed5b-4d42-89ad-d368e2c2264c,bb15c9c9-39eb-41ec-932b-2d34eaeb6c97,LNTH3_3L9,LNTH3_#1L5,0.0651984,0.070393,4.8944e-05,0.602,33.0,9be80580-640c-4f17-86e4-28ad156e1b67
2cf907e7-9be2-487f-8805-ad7ab849d0dc,132kV Line LOLA1T-MAGT12[sec]0,df0c1b9e-82e6-480d-92dd-fb52c604404c,4794aafa-b3a4-4c50-8a83-68920daa3b3c,LOLA1T,MAGT12,0.0506305,0.224986,2.73243e-06,0.576,132.0,7b897c2c-daf2-4193-8f60-357c129c9d6b
