zone,branch,mean_residual_mw,std_residual_mw,p5_residual,p95_residual,max_abs_residual,mean_gen_contribution,relative_error_pct
upper-boat,LADY3_1L5->GAST31,0.46758260315700345,0.845525798015764,-0.4322602199822497,1.5663371714107388,6.678504360533024,0.3429121191838184,136.35639483081533
swansea-north,58L1323P59M->CWFR3_5L3,0.9092577222180729,1.7302146841465738,-1.4630552114406798,4.015319868722689,6.632482985734744,0.34186311068267644,265.9712890350613
upper-boat,MOUA3_#2L5->LADY3_2L5,-0.18210612161264414,0.9823498055098074,-1.4477353528496908,0.9357600563759625,6.549828569636542,0.5176865107642651,35.17691070292701
upper-boat,GAST31->UPPB3_#11L5,-0.17960079316714617,1.0101422659427308,-1.608770073169455,1.22258918235859,6.4734845727040735,0.3217366789613348,55.82229348141247
swansea-north,CWFR3_3L3->CARM3_7L5,0.4846684599032129,1.7379015625563388,-2.0321363353907618,3.642812098524204,6.188012793613543,0.3182616825393118,152.28614894391077
upper-boat,GAST32->UPPB3_#15L5,-0.5662771213303401,1.162077236828893,-2.3879504829313563,1.2211282541564807,6.0903329749240225,0.12428905387061782,455.6130276120874
upper-boat,TONY3_#1L5->UPPB3_#10L5,-0.6439361701289485,1.2560145901632724,-2.5052308944666293,1.4432123465231688,6.052513529214483,0.155240692500054,414.7985684415344
upper-boat,NELS3T->NELS3_1L5,0.017880379284092952,0.8807624985023812,-1.1698606818707225,1.187393527109579,5.813955675178342,0.11074628985545064,16.145352866837307
upper-boat,NELS3T->GAST32,-0.017880379284092952,0.8807624985023812,-1.187393527109579,1.1698606818707225,5.813955675178342,0.11074628985545064,16.145352866837307
upper-boat,TONY3_#4L5->MILL3_2L5,-0.4747217604981127,1.0547324596167194,-2.3169648561397764,0.8677150914089027,5.407121301306523,0.1329662886473628,357.0241489984824
upper-boat,54L7051P1->CWMC3T,-0.6646886941366401,1.1847745349202579,-2.5997432306443407,1.1528526139224828,5.398886877978947,0.1327523753870193,500.69815489089484
upper-boat,MILL3_1L9->MILL3_1L5,0.6646886941366401,1.1847745349202579,-1.1528526139224828,2.5997432306443407,5.398886877978947,0.1327523753870193,500.69815489089484
upper-boat,WATT3_#2L5->54L7080P21A,-0.6361164681394157,1.11016845271918,-2.2213193195176597,1.2612129621517592,5.098044311000349,0.26109896734312,243.63040367887442
swansea-north,WGWB3_1L3->58L1323P59M,0.20330049432910005,1.2922855297956244,-1.5877354131683443,2.4068638388836794,4.062647692624967,0.34114791589045335,59.59306355381115
swansea-north,LDEI3_2L5->AMMA3_5L5,-0.8026557425637693,0.8665610421423958,-2.1877495264449425,0.6432153584820492,3.6223995491048266,0.5406872629207184,148.45101736407346
swansea-north,NANG3_#1L5->WGWB3_2L3,0.3834331448920797,0.9435599236287177,-1.110482110579615,2.0682830855252003,3.3255508301635275,0.34114791589045335,112.39498382725124
upper-boat,LADY3_#1H0->LADY5_1T0,-0.6481090849634293,0.7259853610093759,-2.039015651838468,0.28387510426865714,2.994870989117688,0.8234837779915769,78.70332145997156
swansea-north,LDEI3_4L5->NANG3_#2L5,0.3390212706000288,0.7434474999594693,-0.8857870587759323,1.56157232896883,2.568866020968099,0.34400869505934606,98.55020395386899
swansea-north,LDOV3_1L5->LGAD3_1L3,-0.34082627484568656,0.6722754025259193,-1.3818038296296804,0.7609962738556403,2.38872754069326,0.2074064897447201,164.32768100225894
swansea-north,LGAD3_2L3->MANO3T,-0.2998782943194887,0.5793796498087688,-1.2617983904242094,0.6699283324905974,2.374566132648995,0.20168493140693466,148.68651427132735
swansea-north,LDEI3_1L5->MANO3T,0.287256396311886,0.5620135071862374,-0.64649417632633,1.2264846305234989,2.327785605339996,0.19667856786137244,146.0537360198579
swansea-north,PONA3_2L3->LAMP3_1L5,-0.018919478079753832,0.5537086931942647,-0.9119522066081246,0.9273611837820278,2.3067384123075674,0.2088368793291664,9.059452593108881
swansea-north,PONA3_1L3->LDOV3_2L5,0.11242390962502856,0.5141230331320945,-0.7282037976731772,0.9551555710429179,2.1415285274821096,0.20955207412138957,53.64962866456932
upper-boat,WATT3_#2H0->WATT5_2T0,-0.08941947872053484,0.35108588160797877,-0.6939192227947748,0.4636285228377064,1.3349756162015356,0.3560942740518145,25.11118129002086
upper-boat,WATT3_#1H0->WATT5_1T0,-0.08941947872053484,0.35108588160797877,-0.6939192227947748,0.4636285228377064,1.3349756162015356,0.3560942740518145,25.11118129002086
swansea-north,TIRJ34->TIRJ3_#14L5,0.33223581328866475,0.17176892508394845,0.0687353848396502,0.6387353848396502,1.02873538483965,0.31455900000000003,105.61955413409399
swansea-north,TIRJ33->TIRJ3_#11L5,0.33154237035732403,0.17114637062728275,0.06764134207968908,0.6376413420796891,1.027641342079689,0.31392899999999996,105.61062226086919
